Index,Title,RED,GREEN,BLUE,CLUSTERS,HUE,SATURATION,VALUE,HUE,LUMO,SATURATION 2
1988,Stone Story RPG,3.04,3.04,3.04,0,0.00,0.00,3.04,0.00,3,0.00
216,Black and White,18.68,18.68,18.68,0,0.00,0.00,18.68,0.00,19,0.00
706,Filament,22.45,22.45,22.45,0,0.00,0.00,22.45,0.00,22,0.00
416,Cryptmaster,23.06,23.06,23.06,0,0.00,0.00,23.06,0.00,23,0.00
1146,Lorelei and the Laser Eyes,31.62,31.62,31.62,0,0.00,0.00,31.62,0.00,32,0.00
795,Gato Roboto,60.73,60.73,60.73,0,0.00,0.00,60.73,0.00,61,0.00
2409,Unworthy,64.70,64.70,64.70,0,0.00,0.00,64.70,0.00,65,0.00
1128,Limbo,71.68,71.68,71.68,0,0.00,0.00,71.68,0.00,72,0.00
1864,Silt,75.44,75.44,75.44,0,0.00,0.00,75.44,0.00,75,0.00
2339,Trek to Yomi,99.09,99.09,99.09,0,0.00,0.00,99.09,0.00,99,0.00
1823,Shadows Over Loathing,107.22,107.22,107.22,0,0.00,0.00,107.22,0.00,107,0.00
153,Aztez,121.68,121.68,121.68,0,0.00,0.00,121.68,0.00,122,0.00
2301,TOEM,122.88,122.88,122.88,0,0.00,0.00,122.88,0.00,123,0.00
223,Blanc,178.96,178.96,178.96,0,0.00,0.00,178.96,0.00,179,0.00
936,Hidden Folks,192.26,192.26,192.26,0,0.00,0.00,192.26,0.00,192,0.00
2476,West of Loathing,196.40,196.40,196.40,0,0.00,0.00,196.40,0.00,196,0.00
510,Disaster Band,213.35,213.35,213.35,0,0.00,0.00,213.35,0.00,213,0.00
614,Echochrome,232.76,232.76,232.76,0,0.00,0.00,232.76,0.00,233,0.00
179,Batman Arkham City,135.34,134.57,134.56,0.78,0.00,0.01,135.34,0.00,135,0.00
2544,Yakuza 5,101.48,96.29,96.27,5.21,0.00,0.05,101.48,0.00,99,-0.03
1118,Life is Strange,170.43,163.85,163.74,6.69,0.00,0.04,170.43,0.00,167,-0.02
1077,Kirby Triple Deluxe,152.34,145.22,145.07,7.27,0.00,0.05,152.34,0.00,149,-0.02
494,Devil May Cry 3 - Dante's Awakening,75.03,67.76,67.58,7.45,0.00,0.10,75.03,0.00,71,-0.05
831,God of War,128.99,121.35,121.17,7.82,0.00,0.06,128.99,0.00,125,-0.03
428,Dark Cloud 2,119.01,108.85,108.64,10.37,0.00,0.09,119.01,0.00,114,-0.05
2152,The Evil Within,152.62,141.85,141.78,10.84,0.00,0.07,152.62,0.00,147,-0.04
2575,Zombie Vikings,69.20,57.44,57.23,11.97,0.00,0.17,69.20,0.00,63,-0.10
1470,Othercide,34.00,22.20,21.92,12.08,0.00,0.36,34.00,0.00,28,-0.22
633,ENDER LILIES Quietus of the Knights,113.62,100.52,100.36,13.26,0.00,0.12,113.62,0.00,107,-0.06
718,Final Fantasy IV Advance,131.71,117.62,117.50,14.21,0.00,0.11,131.71,0.00,125,-0.06
692,Fear Effect,59.86,44.89,44.56,15.3,0.00,0.26,59.86,0.00,52,-0.15
1808,Shadow Hearts - From the New World,151.60,134.14,133.72,17.88,0.00,0.12,151.60,0.00,143,-0.06
2374,Ultimate Mortal Kombat,44.85,26.47,26.14,18.71,0.00,0.42,44.85,0.00,35,-0.27
552,Dragon Age II,150.67,130.28,129.97,20.7,0.00,0.14,150.67,0.00,140,-0.07
1792,Second Sight,35.78,14.91,14.41,21.37,0.00,0.60,35.78,0.00,25,-0.44
2376,Ultros,75.61,49.07,48.93,26.68,0.00,0.35,75.61,0.00,62,-0.22
233,BloodRayne 2,66.65,39.78,39.59,27.06,0.00,0.41,66.65,0.00,53,-0.26
