Name,r,g,b,hue,sat_1,value,lumo,Custom Order,sat_2,red,green,blue,yellow,cyan,magenta,orange,indigo,black,white,unknown,grey
Echochrome,248,248,248,-1,0,1,0.97,A,0,0,0,0,0,0,0,0,0,374,41580,41954,1246
Disaster Band,228,228,228,-1,0,1,0.89,A,0,0,0,0,0,0,0,0,0,1454,38172,39626,3574
Final Fantasy IV - The Complete Collection,225,225,225,-1,0,1,0.88,A,0,0,0,0,0,0,0,0,0,1263,33901,35164,8036
The Unfinished Swan,212,212,210,-1,0.01,1,0.83,A,0.02,0,0,0,7,0,0,233,0,5284,33966,40045,3155
Hitman,208,208,208,-1,0,1,0.82,A,0,0,0,0,0,0,0,0,0,2226,33530,38012,5188
West of Loathing,210,210,210,-1,0,1,0.82,A,0,0,0,0,0,0,0,0,0,3651,33646,37297,5903
Hidden Folks,205,205,205,-1,0,1,0.8,A,0,0,0,0,0,0,0,0,0,153,26217,26370,16830
The Shattering,201,201,201,-1,0,1,0.79,A,0,0,0,0,0,0,0,0,0,3252,31367,34787,8413
Batman - The TellTale Series,198,198,198,-1,0,1,0.78,A,0,0,0,0,0,0,0,0,0,7136,32388,39524,3676
Blanc,191,191,191,-1,0,1,0.75,A,0,0,0,0,0,0,0,0,0,4889,29182,34071,9129
Final Fantasy Tactics,191,190,190,-1,0.01,1,0.75,A,0.01,0,0,0,0,0,0,0,0,1247,21291,32621,10579
Drakengard 2,199,194,194,0,0.03,1,0.77,A,0.04,1106,0,0,102,0,0,313,0,1356,25865,42523,677
Grandia,196,189,189,0,0.04,1,0.75,A,0.06,0,0,0,0,0,0,0,0,803,26534,39517,3683
Kingdom Hearts - Melody of Memory,174,158,158,0,0.09,1,0.65,A,0.09,40,0,0,0,14,0,12,0,1553,17858,38504,4696
Darksiders - Genesis,164,158,158,0,0.04,1,0.63,A,0.03,1,0,0,0,0,0,4,0,4445,21083,38420,4780
Scarlet Nexus,165,157,157,0,0.05,1,0.63,A,0.04,11,0,0,0,0,0,37,0,4447,17503,40603,2597
Max Payne 2 - The Fall of Max Payne,163,154,154,0,0.06,1,0.62,A,0.05,868,0,0,0,0,0,0,0,13500,24258,40808,2392
