_key	r	g	b	hue	sat_1	value	lumo	sat_2	red	green	blue	yellow	cyan	magenta	orange	indigo	black	white	unknown	grey
007 - The World Is Not Enough.jpg	128	98	67	30.49	0.48	1	0.38	0.31	2560	0	0	1141	0	0	6148	0	12951	2181	43071	129
10,000 Bullets.jpg	57	47	42	20	0.26	0	0.19	0.15	0	0	0	0	0	0	24	0	26886	1531	41227	1973
1000xRESIST.jpg	180	146	195	281.63	0.25	1	0.67	0.29	918	0	1758	9	0	1	15	40	883	12570	42530	670
13 Sentinels - Aegis Rim.jpg	142	137	144	282.86	0.05	1	0.55	0.03	0	0	0	0	0	0	0	0	3874	10405	41622	1578
20XX.jpg	98	100	123	235.2	0.2	0	0.43	0.11	368	0	701	813	141	34	1028	291	3483	1725	42643	557
24 Killers.jpg	71	58	59	355.38	0.18	0	0.25	0.1	19	0	21	253	0	0	628	18	23124	213	42875	325
3000th Duel.jpg	90	84	121	249.73	0.31	0	0.4	0.18	0	0	50	0	0	0	0	0	12582	7823	42869	331
30XX.jpg	53	87	123	210.86	0.57	0	0.35	0.4	24	0	1	353	1374	0	826	0	1966	307	43095	105
8 Doors.jpg	110	106	104	20	0.05	0	0.42	0.03	0	0	0	0	0	0	0	0	14545	10838	30148	13052
9 Hours, 9 Persons, 9 Doors.jpg	81	72	67	21.43	0.17	0	0.29	0.09	9	0	0	0	0	0	2	0	14663	976	40904	2296
9 Monkeys of Shaolin.jpg	103	53	32	17.75	0.69	0	0.26	0.53	1273	0	0	0	0	0	291	0	8455	2011	42958	242
9 Years of Shadows.jpg	66	59	82	258.26	0.28	0	0.28	0.16	100	0	29	443	39	9	1799	117	10810	161	43110	90
A Dance of Fire and Ice.jpg	47	57	70	213.91	0.33	0	0.23	0.2	194	0	0	0	0	0	5	0	12371	653	42371	829
A Hat in Time.jpg	144	146	144	120	0.01	1	0.57	0.01	111	0	0	1129	92	0	240	26	563	5888	42492	708
A Highland Song.jpg	89	107	115	198.46	0.23	0	0.4	0.13	1	0	0	1	0	0	491	0	777	1590	42635	565
A Juggler's Tale.jpg	82	138	111	151.07	0.41	1	0.43	0.25	0	0	0	0	0	0	0	0	5674	376	42317	883
A Little to the Left.jpg	229	154	142	8.28	0.38	1	0.73	0.63	0	0	0	0	0	0	0	0	0	3748	42953	247
A Monster's Expedition.jpg	146	169	134	99.43	0.21	1	0.59	0.17	388	0	0	253	0	0	1964	0	83	5742	43182	18
A Plague Tale - Innocence.jpg	167	168	170	220	0.02	1	0.66	0.02	0	0	0	0	0	0	0	0	8090	23624	37833	5367
A Plague Tale Requiem.jpg	55	44	36	25.26	0.35	0	0.18	0.21	0	0	0	0	0	0	0	0	28331	173	42763	437
A Short Hike.jpg	186	155	77	42.94	0.59	1	0.52	0.44	216	0	0	1416	0	0	20020	0	28	2764	43150	50
A Space For the Unbound.jpg	124	124	142	240	0.13	1	0.52	0.07	0	0	0	0	0	0	0	0	4	839	41618	1582
A Story about my Uncle.jpg	175	147	131	21.82	0.25	1	0.6	0.22	0	0	0	41	5	0	76	0	837	8208	42596	604
A Total War Saga - Troy.jpg	69	46	37	16.88	0.46	0	0.21	0.3	0	0	0	0	0	0	7	0	21731	245	42998	202
A Way Out.jpg	82	83	76	68.57	0.08	0	0.31	0.04	0	0	0	1165	0	0	220	0	16279	452	38499	4701
Abandon Ship.jpg	56	66	70	197.14	0.2	0	0.25	0.11	0	0	0	0	0	0	29	0	19280	129	41837	1363
ABRISS - build to destroy.jpg	46	88	91	184	0.49	0	0.27	0.33	34	0	0	1	0	0	15	0	11622	3252	41959	1241
Abyss Odyssey.jpg	51	36	35	3.75	0.31	0	0.17	0.19	0	0	0	0	0	0	0	0	27990	601	41454	1746
Abzu.jpg	58	126	169	203.24	0.66	1	0.45	0.49	0	0	0	0	129	0	0	0	3850	587	43185	15
Ace Attorney Investigations - Miles Edgeworth.jpg	140	104	107	355	0.26	1	0.48	0.15	2	0	0	89	0	0	59	0	4446	5078	42256	944
Ace Attorney Investigations Collection.jpg	128	100	112	334.29	0.22	1	0.45	0.12	25	0	0	0	0	0	5	0	5522	4299	42205	995
Ace Combat 7 - Skies Unknown.jpg	146	166	197	216.47	0.26	1	0.67	0.31	0	0	0	0	0	0	0	0	4	10536	43181	19
Active DBG Braves Rage.jpg	222	208	216	325.71	0.06	1	0.84	0.18	174	0	0	0	12	0	33	0	354	29374	42701	499
Actraiser Renaissance.jpg	97	87	89	348	0.1	0	0.36	0.05	28	0	0	0	0	0	0	0	13890	3756	41692	1508
Adore.jpg	123	139	126	131.25	0.12	1	0.51	0.06	1	1	0	1	0	0	15	0	804	3465	41576	1624
Advance Wars - Days of Ruin.jpg	111	84	99	326.67	0.24	0	0.38	0.14	50	0	0	0	0	0	99	47	9283	3194	42524	676
Advance Wars - Dual Strike.jpg	110	89	99	331.43	0.19	0	0.39	0.11	1526	0	0	13	0	0	1016	0	2536	1142	42974	226
Advance Wars 1+2 - Re-Boot Camp.jpg	163	160	137	53.08	0.16	1	0.59	0.12	868	0	0	166	3	0	1267	0	1058	10801	42812	388
Advent Rising.jpg	229	191	109	41	0.52	1	0.66	0.7	41	0	0	2405	0	0	20595	0	0	9149	43200	0
Aeterna Noctis.jpg	116	58	34	17.56	0.71	0	0.29	0.55	120	0	0	41	0	0	1340	0	7026	1077	43170	30
After Us.jpg	65	71	72	188.57	0.1	0	0.27	0.05	0	0	0	0	0	0	0	0	23540	3914	38375	4825
Afterimage.jpg	148	101	117	339.57	0.32	1	0.49	0.19	0	0	0	0	0	0	0	0	808	7117	42642	558
Afterparty.jpg	78	19	77	301.02	0.76	0	0.19	0.61	251	0	1	0	0	1427	0	114	20603	315	43200	0
Against the Storm.jpg	92	78	57	36	0.38	0	0.29	0.23	0	0	0	0	0	0	9	0	14459	23	42933	267
Age of Empires II - The Age of Kings.jpg	127	140	154	211.11	0.18	1	0.55	0.12	595	0	0	0	0	0	44	0	334	6616	42016	1184
Age of Empires III.jpg	166	153	128	39.47	0.23	1	0.58	0.18	7	0	0	0	0	0	38	0	1640	12818	40367	2833
Age of Wonders - Shadow Magic.jpg	118	132	119	124.29	0.11	1	0.49	0.06	0	0	0	1667	0	0	1137	0	4275	2195	42830	370
Age of Wonders 2 - The Wizard's Throne.jpg	109	83	91	341.54	0.24	0	0.38	0.14	1099	0	134	1	0	0	828	0	6669	636	42051	1149
Age of Wonders 3.jpg	132	89	52	27.75	0.61	1	0.36	0.43	18	0	0	138	0	0	1846	0	7658	446	43027	173
Age of Wonders 4.jpg	76	86	104	218.57	0.27	0	0.35	0.16	0	0	0	0	17	0	0	0	12100	4177	42003	1197
Age of Wonders Planetfall.jpg	63	73	84	211.43	0.25	0	0.29	0.14	0	0	0	0	43	0	0	0	17497	1912	42153	1047
Age of Wonders.jpg	46	31	41	320	0.33	0	0.15	0.19	34	0	150	0	0	0	16	0	27493	140	43156	44
Agent A - A Puzzle in Disguise.jpg	69	31	58	317.37	0.55	0	0.2	0.38	289	0	0	0	0	0	0	6	20438	1350	43023	177
Aggressive Inline.jpg	98	81	76	13.64	0.22	0	0.34	0.13	27	0	0	0	0	0	65	0	14365	3266	39044	4156
Aidyn Chronicles - The First Mage.jpg	102	85	77	19.2	0.25	0	0.35	0.14	11	0	0	0	0	0	25	0	11998	786	41229	1971
