Index,Title,RED,GREEN,BLUE,HUE,SATURATION,VALUE,HUE,LUMO,SATURATION 2,RGB AVG
1823,Shadows Over Loathing,107.22,107.22,107.22,0.00,0.00,107.22,0.00,107.22,0.00,107.22
153,Aztez,121.68,121.68,121.68,0.00,0.00,121.68,0.00,121.68,0.00,121.68
2301,TOEM,122.88,122.88,122.88,0.00,0.00,122.88,0.00,122.88,0.00,122.88
223,Blanc,178.96,178.96,178.96,0.00,0.00,178.96,0.00,178.96,0.00,178.96
216,Black and White,18.68,18.68,18.68,0.00,0.00,18.68,0.00,18.68,0.00,18.68
936,Hidden Folks,192.26,192.26,192.26,0.00,0.00,192.26,0.00,192.26,0.00,192.26
2476,West of Loathing,196.40,196.40,196.40,0.00,0.00,196.40,0.00,196.40,0.00,196.40
510,Disaster Band,213.35,213.35,213.35,0.00,0.00,213.35,0.00,213.35,0.00,213.35
706,Filament,22.45,22.45,22.45,0.00,0.00,22.45,0.00,22.45,0.00,22.45
416,Cryptmaster,23.06,23.06,23.06,0.00,0.00,23.06,0.00,23.06,0.00,23.06
614,Echochrome,232.76,232.76,232.76,0.00,0.00,232.76,0.00,232.76,0.00,232.76
1988,Stone Story RPG,3.04,3.04,3.04,0.00,0.00,3.04,0.00,3.04,0.00,3.04
1146,Lorelei and the Laser Eyes,31.62,31.62,31.62,0.00,0.00,31.62,0.00,31.62,0.00,31.62
795,Gato Roboto,60.73,60.73,60.73,0.00,0.00,60.73,0.00,60.73,0.00,60.73
2409,Unworthy,64.70,64.70,64.70,0.00,0.00,64.70,0.00,64.70,0.00,64.70
1128,Limbo,71.68,71.68,71.68,0.00,0.00,71.68,0.00,71.68,0.00,71.68
1864,Silt,75.44,75.44,75.44,0.00,0.00,75.44,0.00,75.44,0.00,75.44
2339,Trek to Yomi,99.09,99.09,99.09,0.00,0.00,99.09,0.00,99.09,0.00,99.09
179,Batman Arkham City,135.34,134.57,134.56,0.00,0.01,135.34,0.00,134.95,0.00,134.82
1118,Life is Strange,170.43,163.85,163.74,0.00,0.04,170.43,0.00,167.08,-0.02,166.01
2544,Yakuza 5,101.48,96.29,96.27,0.00,0.05,101.48,0.00,98.88,-0.03,98.02
1077,Kirby Triple Deluxe,152.34,145.22,145.07,0.00,0.05,152.34,0.00,148.71,-0.02,147.54
831,God of War,128.99,121.35,121.17,0.00,0.06,128.99,0.00,125.08,-0.03,123.84
2152,The Evil Within,152.62,141.85,141.78,0.00,0.07,152.62,0.00,147.20,-0.04,145.42
428,Dark Cloud 2,119.01,108.85,108.64,0.00,0.09,119.01,0.00,113.82,-0.05,112.17
494,Devil May Cry 3 - Dante's Awakening,75.03,67.76,67.58,0.00,0.10,75.03,0.00,71.30,-0.05,70.12
718,Final Fantasy IV Advance,131.71,117.62,117.50,0.00,0.11,131.71,0.00,124.61,-0.06,122.28
633,ENDER LILIES Quietus of the Knights,113.62,100.52,100.36,0.00,0.12,113.62,0.00,106.99,-0.06,104.83
1808,Shadow Hearts - From the New World,151.60,134.14,133.72,0.00,0.12,151.60,0.00,142.66,-0.06,139.82
552,Dragon Age II,150.67,130.28,129.97,0.00,0.14,150.67,0.00,140.32,-0.07,136.97
2575,Zombie Vikings,69.20,57.44,57.23,0.00,0.17,69.20,0.00,63.21,-0.10,61.29
703,Fights in Tight Spaces,159.94,130.92,130.48,0.00,0.18,159.94,0.00,145.21,-0.10,140.45
692,Fear Effect,59.86,44.89,44.56,0.00,0.26,59.86,0.00,52.21,-0.15,49.77
1328,Mortal Kombat Armageddon,138.84,99.99,99.79,0.00,0.28,138.84,0.00,119.31,-0.17,112.87
2376,Ultros,75.61,49.07,48.93,0.00,0.35,75.61,0.00,62.27,-0.22,57.87
956,Hot Wheels Unleashed,85.71,56.42,55.93,0.00,0.35,85.71,0.00,70.82,-0.21,66.02
1470,Othercide,34.00,22.20,21.92,0.00,0.36,34.00,0.00,27.96,-0.22,26.04
1863,Silhouette Mirage,144.98,88.11,87.69,0.00,0.40,144.98,0.00,116.33,-0.25,106.93
233,BloodRayne 2,66.65,39.78,39.59,0.00,0.41,66.65,0.00,53.12,-0.26,48.67
2374,Ultimate Mortal Kombat,44.85,26.47,26.14,0.00,0.42,44.85,0.00,35.49,-0.27,32.48
871,Gripper,134.43,73.25,72.64,0.00,0.46,134.43,0.00,103.54,-0.30,93.44
1288,Minecraft Dungeons,103.79,52.87,51.30,0.00,0.51,103.79,0.00,77.55,-0.34,69.32
2449,Warcraft I & II,110.85,55.88,54.25,0.00,0.51,110.85,0.00,82.55,-0.35,73.66
